model,k,seed,experiment_name,experiment_path,split_signature,test_mae,test_rmse,test_r2,test_pearson,target_mean,prediction_mean,target_std,prediction_std,prediction_std_ratio,repeated_prediction_fraction,best_epoch
EvolveGCN-H,4,42,evolvegcn_h_500u_k4_seed42,experiments/evolvegcn_h_500u_k4_seed42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08597987035910289,0.10165627491698663,-0.006198086278521808,0.11179680179214208,0.2916933327913284,0.3054309129714966,0.10202514478236673,0.009577406433204465,0.09387300016710934,0.0,4
EvolveGCN-H,4,123,evolvegcn_h_500u_k4_seed123,experiments/evolvegcn_h_500u_k4_seed123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.0977921324968338,0.11606312281279031,-0.04052244290047491,-0.10361351101662139,0.29364533245563507,0.296052477757136,0.11454688870034196,0.013951652197136339,0.1217986132616336,0.0,4
EvolveGCN-H,4,2025,evolvegcn_h_500u_k4_seed2025,experiments/evolvegcn_h_500u_k4_seed2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10954607039690017,0.12493490246850293,-0.09960359759576187,-0.0714414620736514,0.29471200038989387,0.3253087870279948,0.11994453853216079,0.015044120676232741,0.12542564138673937,0.0,3
EvolveGCN-H,6,42,evolvegcn_h_500u_k6_seed42,experiments/evolvegcn_h_500u_k6_seed42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08668350040912629,0.10242123730777128,-0.021398322572443895,0.06661945660691394,0.2916933327913284,0.307982519865036,0.10202514478236673,0.006687461746633499,0.06554719192899701,0.0,9
EvolveGCN-H,6,123,evolvegcn_h_500u_k6_seed123,experiments/evolvegcn_h_500u_k6_seed123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09758303026358287,0.11615094361192303,-0.042097690611103245,-0.11065228731816482,0.29364533245563507,0.2887742495536804,0.11454688870034196,0.0135733197051701,0.11849575190713652,0.0,3
EvolveGCN-H,6,2025,evolvegcn_h_500u_k6_seed2025,experiments/evolvegcn_h_500u_k6_seed2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10641919165849685,0.1221242868485702,-0.05068533146769294,-0.02490365583006592,0.29471200038989387,0.31844046115875246,0.11994453853216079,0.009953896268786613,0.08298749064024845,0.0,12
EvolveGCN-H,8,42,evolvegcn_h_500u_k8_h64_seed42,experiments/evolvegcn_h_500u_k8_h64_seed42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08632708887259165,0.1019857631142654,-0.012731232840953455,0.06361090295740716,0.2916933327913284,0.3048061148325602,0.10202514478236673,0.0070993191243620985,0.0695840142104762,0.0,9
EvolveGCN-H,8,123,evolvegcn_h_500u_k8_h64_seed123,experiments/evolvegcn_h_500u_k8_h64_seed123,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,0.09715090890725454,0.11527576105986659,-0.026452708498044153,-0.061257574640552176,0.29364533245563507,0.29338499426841735,0.11454688870034196,0.012889250374614313,0.11252379284026624,0.0,4
EvolveGCN-H,8,2025,evolvegcn_h_500u_k8_h64_seed2025,experiments/evolvegcn_h_500u_k8_h64_seed2025,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,0.10620805531740189,0.12195795212845643,-0.047825188923717565,0.00399478142179792,0.29471200038989387,0.3185505374272664,0.11994453853216079,0.011077294210662133,0.09235346891340095,0.0,12
EvolveGCN-H,12,42,evolvegcn_h_500u_k12_seed42,experiments/evolvegcn_h_500u_k12_seed42,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,0.08587054749329885,0.1008635351675927,0.009433867083645131,0.0999738221523658,0.2916933327913284,0.29366084734598796,0.10202514478236673,0.011583691488879154,0.11353761382636327,0.0,2
